"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"GO:0000070","GO:0000070","mitotic sister chromatid segregation",58,-0.59658643558163,-3.39385909355996,1e-10,8.82105263157895e-09,4.88642659279778e-09,312,"tags=74%, list=28%, signal=56%","Ttk/Psrc1/Kif2c/Ncaph/Cit/Ndc80/Cenpk/Smc1a/Ncapd3/Hnrnpu/Bub3/Nuf2/Ncapg2/Kif18a/Rad21/Plk1/Bub1b/Ncapg/Bub1/Kif22/Sgo1/Knstrn/Ncapd2/Tacc3/Kif4/Aurkb/Sgo2a/Incenp/Pttg1/Fbxo5/Cdc20/Kif23/Smc4/Ccnb1/Ran/Racgap1/Cenpe/Birc5/Nusap1/Smc2/Cdca8/Ube2c/Prc1"
"GO:0000278","GO:0000278","mitotic cell cycle",175,-0.428668810732681,-3.07175719793037,1e-10,8.82105263157895e-09,4.88642659279778e-09,273,"tags=50%, list=25%, signal=44%","Cit/Tuba1a/Rpl24/Mcm3/Ndc80/Egfr/Cenpk/Dtl/Smc1a/Ncapd3/Mcm6/Dlgap5/Hnrnpu/Bub3/Rps6/Pcna/Nuf2/Ncapg2/Cenph/Kif18a/Rad21/Plk4/Ccnb2/Cenpw/Rcc2/Plk1/Aurka/Bub1b/Clspn/Ncapg/Bub1/Ect2/Kif22/Sgo1/Knstrn/Ncapd2/Tacc3/Lig1/Kif4/Kif20b/Ranbp1/Aurkb/Hmgb1/Cdk4/Dbf4/Sgo2a/Incenp/Pttg1/Fbxo5/Cdc20/Ckap2/Cks1b/Ascl1/Tubb3/Kif23/Anp32b/Kif11/Calm2/Cdk1/Nasp/Spc25/Ccna2/Ezh2/Smc4/Ccnb1/Ran/Racgap1/Sox4/Cenpe/Ube2s/Birc5/Tuba1b/Pbk/Nusap1/Cenpa/Cks2/Smc2/Cdca8/Tpx2/Ccnd2/Lmnb1/Ube2c/Tubb5/Prc1/Mki67/Cenpf/Stmn1"
"GO:0000280","GO:0000280","nuclear division",86,-0.535578213486483,-3.39094674582183,1e-10,8.82105263157895e-09,4.88642659279778e-09,312,"tags=65%, list=28%, signal=51%","Ttk/Psrc1/Kif2c/Rad51ap1/Ncaph/Cit/Rpl24/Ndc80/Cenpk/Smc1a/Ncapd3/Hnrnpu/Bub3/Nuf2/Ncapg2/Kif18a/Rad21/Ccnb2/Plk1/Aurka/Bub1b/Ncapg/Bub1/Kif22/Sgo1/Knstrn/Ncapd2/Tacc3/Kif4/Kif20b/Ranbp1/Aurkb/Sgo2a/Incenp/Pttg1/Fbxo5/Cdc20/Kif23/Kif11/Aspm/Smc4/Ccnb1/Ran/Racgap1/Cenpe/Ube2s/Birc5/Nusap1/Cks2/Smc2/Cdca8/Tpx2/Ube2c/Prc1/Mki67/Top2a"
"GO:0000819","GO:0000819","sister chromatid segregation",63,-0.595463113369295,-3.46099116985644,1e-10,8.82105263157895e-09,4.88642659279778e-09,312,"tags=73%, list=28%, signal=55%","Ttk/Psrc1/Kif2c/Ncaph/Cit/Ndc80/Cenpk/Smc1a/Ncapd3/Hnrnpu/Bub3/Nuf2/Ncapg2/Sfpq/Kif18a/Rad21/Plk1/Bub1b/Ncapg/Bub1/Kif22/Sgo1/Knstrn/Ncapd2/Tacc3/Kif4/Aurkb/Sgo2a/Incenp/Pttg1/Fbxo5/Cdc20/Esco2/Kif23/Smc4/Ccnb1/Ran/Racgap1/Cenpe/Birc5/Nusap1/Smc2/Cdca8/Ube2c/Prc1/Top2a"
"GO:0003008","GO:0003008","system process",113,0.480853624598828,3.30540538545686,1e-10,8.82105263157895e-09,4.88642659279778e-09,358,"tags=68%, list=33%, signal=51%","Apoe/Ptn/Fxyd1/Ntrk2/Atp1a2/Gja1/Prnp/Dbi/Sox9/Hopx/Slc1a3/Ddah1/Igfbp5/Btg2/Emp2/Fam107a/Psap/Klf4/S100a1/Id2/Mgll/Gnao1/Gabrb1/Atp1b1/Ednrb/Dlgap1/Aldoa/Myo6/Jun/Aqp4/Add3/Camk2n1/Nrxn1/Rorb/Aplp2/Lrp1/Slc9a3r1/Ctnnd2/Cbs/Syt11/Cmya5/Nr3c1/Cntnap2/Atp1a1/Nrxn2/Slc27a1/Cyba/Ttc8/Selenom/Ephb1/Kcnj10/Tmem100/Fzd2/Bcl2/Ptprz1/Nr2e1/Kcnn2/Slc15a2/Serpine2/Dag1/Fgfr1/Gclm/Foxo1/Hgf/Gm2a/Gsn/Wwtr1/Klf2/Cry2/Camk2d/Ppt1/Slc16a2/Thra/Adk/Camk2g/Tpbg/Csmd1"
"GO:0006629","GO:0006629","lipid metabolic process",73,0.538596776458031,3.28626045311959,1e-10,8.82105263157895e-09,4.88642659279778e-09,402,"tags=82%, list=37%, signal=56%","Apoe/Mt3/Plpp3/Pla2g7/Dbi/Prdx6/Sox9/Cd81/Acsl3/Psap/Scd2/Id2/Mgll/Socs3/Dkk3/Degs1/Sorbs1/Naaa/Qk/Smpdl3a/Mid1ip1/Aplp2/Lrp1/Pitpnc1/Acsl6/Acsbg1/Scp2/Nr3c1/Atp1a1/Rora/Slc27a1/Chpt1/Acaa2/Ppp2r5a/Abca1/Acox1/Cyb5a/Pdgfrb/Soat1/Abhd4/Tcf7l2/Fgfr1/Gm2a/Plcd4/Ppt1/Nr1d1/Thra/Acadl/Crtc3/Plce1/Pik3ip1/Il6st/St8sia1/Rbp1/Fads1/Agpat3/Hmgcs2/Apoc1/Bmpr1b/Acss1"
"GO:0006996","GO:0006996","organelle organization",346,-0.322550649256982,-2.56399802618252,1e-10,8.82105263157895e-09,4.88642659279778e-09,382,"tags=50%, list=35%, signal=47%","Actl6a/Smarce1/Wee1/Smarca4/Rps25/Hdac2/Brca1/Cep295/Nek2/Pak3/Tuba1c/Parp1/Mad2l1/Kif20a/Kifc1/Map1b/Rps27l/Brd8/Smarca5/Smc6/Hspd1/Tcp1/Rpl3/G3bp1/Topbp1/Hsp90ab1/Ska1/Anln/Cox7a2/Tpm4/Ttk/Dynll1/H3f3a/Psrc1/Cenpp/Coro1c/Dbn1/Vrk1/Kif2c/Ctcf/Chd3/Atpif1/Ssrp1/Pbrm1/Rpl23a/Rad51ap1/Hat1/Ncaph/Rps28/Cct2/Cit/Tuba1a/Rpl24/Ndc80/Cenpk/Smc1a/Rps5/Smarcc1/Marcksl1/Ncapd3/Mcm6/Dlgap5/Hnrnpu/Bub3/Prmt1/Slc25a5/Rps19/Pcna/Rpl6/Gas2l3/Nuf2/Rplp0/Cbx3/Rps2/Ncapg2/Fnbp1l/Serbp1/Sfpq/Cenph/Kif18a/Rad21/Rps3/Plk4/Lima1/Lsm4/Ccnb2/Cenpw/Cd24a/Plk1/Aurka/Bub1b/Uhrf1/Dpysl3/Hmgn5/Ncapg/Banf1/Bub1/Supt16/Dcx/Hsp90aa1/Ect2/Dnmt1/Hmgn1/Kif22/Sgo1/Knstrn/Mcm7/Ncapd2/Hjurp/Hells/Stmn2/Atad2/Tacc3/H3f3b/Ppia/Kif4/Marcks/Npm1/Kif20b/Nucks1/Nap1l1/Rpsa/Anp32e/Ranbp1/Aurkb/Hmgb1/Nsd2/Sgo2a/Ptma/Dek/Incenp/Pttg1/Fbxo5/Set/Hnrnpd/Cdc20/Ckap2/Tubb3/Esco2/Kif23/Kif11/Aspm/Cdk1/Nasp/Spc25/Ccna2/Ezh2/Smc4/Ccnb1/Ran/Racgap1/Cenpe/Ube2s/Birc5/Tuba1b/Nusap1/Cenpa/Cks2/Smc2/Cdca8/Tpx2/Tmsb4x/Hmgn2/Pclaf/Tmsb10/Ube2c/Tubb5/Prc1/Mki67/Hmgb2/Stmn1/Top2a"
"GO:0007049","GO:0007049","cell cycle",252,-0.381706605705783,-2.90602297699112,1e-10,8.82105263157895e-09,4.88642659279778e-09,280,"tags=45%, list=26%, signal=43%","Melk/Ncaph/Cit/Ppp1cc/Tuba1a/Rpl24/Mcm3/Ndc80/Egfr/Cenpk/Dtl/Smc1a/Rps15a/Ube2i/Ncapd3/Mcm6/Dlgap5/Hnrnpu/Bub3/Rps6/Gmnn/Pcna/Nuf2/Ncapg2/Sfpq/Cenph/Kif18a/Rad21/Rps3/Plk4/Ccnb2/Cenpw/Rcc2/Plk1/Aurka/Rack1/Bub1b/Uhrf1/Clspn/Ncapg/Bub1/Cdca2/Ect2/Kif22/Sgo1/Knstrn/Pimreg/Mcm7/Ncapd2/Hjurp/Hells/Tacc3/Lig1/Kif4/Npm1/Kif20b/Ranbp1/Cdk6/Aurkb/Hmgb1/Cdk4/Dbf4/Sgo2a/Incenp/Pttg1/Fbxo5/Cdc20/Mis18bp1/Ckap2/Cks1b/Ascl1/Tubb3/Esco2/Kif23/Anp32b/Kif11/Aspm/Spc24/Calm2/Cdk1/Nasp/Spc25/Ccna2/Cdca3/Ezh2/Smc4/Ccnb1/Ran/Knl1/Racgap1/Insm1/Sox4/Cenpe/Ube2s/Birc5/Tuba1b/Pbk/Nusap1/Cenpa/Cks2/Smc2/Cdca8/Tpx2/Ccnd2/Lmnb1/Pclaf/Ube2c/Tubb5/Prc1/Mki67/Cenpf/Stmn1/Top2a"
"GO:0007051","GO:0007051","spindle organization",40,-0.628596885948342,-3.16038189201053,1e-10,8.82105263157895e-09,4.88642659279778e-09,265,"tags=72%, list=24%, signal=57%","Ndc80/Smc1a/Dlgap5/Hnrnpu/Nuf2/Cenph/Rps3/Ccnb2/Plk1/Aurka/Knstrn/Tacc3/Kif4/Ranbp1/Aurkb/Incenp/Fbxo5/Cdc20/Kif23/Kif11/Aspm/Spc25/Ccnb1/Racgap1/Cenpe/Tpx2/Tubb5/Prc1/Stmn1"
"GO:0007059","GO:0007059","chromosome segregation",92,-0.567139196003969,-3.64853691169765,1e-10,8.82105263157895e-09,4.88642659279778e-09,312,"tags=68%, list=28%, signal=54%","Ttk/Psrc1/Kif2c/Ctcf/Pmf1/Ncaph/Cit/Ndc80/Cenpk/Smc1a/Ube2i/Ncapd3/Dlgap5/Hnrnpu/Bub3/Slc25a5/Nuf2/Ncapg2/Sfpq/Cenph/Kif18a/Rad21/Rps3/Cenpw/Rcc2/Plk1/Bub1b/Ncapg/Banf1/Bub1/Cdca2/Ect2/Kif22/Sgo1/Knstrn/Ncapd2/Hjurp/Tacc3/Kif4/Aurkb/Sgo2a/Incenp/Pttg1/Fbxo5/Cdc20/Esco2/Kif23/Spc25/Smc4/Ccnb1/Ran/Knl1/Racgap1/Cenpe/Birc5/Nusap1/Smc2/Cdca8/Ube2c/Prc1/Mki67/Cenpf/Top2a"
"GO:0007154","GO:0007154","cell communication",362,0.318275068991043,2.64242963655563,1e-10,8.82105263157895e-09,4.88642659279778e-09,443,"tags=60%, list=40%, signal=53%","Clu/Apoe/Mt3/Cpe/Mt1/Slc1a2/Plpp3/Cspg5/Ptn/Gfap/Glul/Ntrk2/Gja1/Hes5/Ndrg2/Sparcl1/Hes1/Prnp/Dbi/Sox9/Zfp36/Zfp36l1/Slc1a3/Fos/Ctsl/Cd81/Igfbp5/S1pr1/Glud1/Itm2b/Emp2/Fam107a/Dtna/Prex2/Timp3/Psap/Klf4/Sptbn1/Sfrp1/Mgll/Gnao1/Arhgap5/Gabrb1/Itm2c/Socs3/Lamp1/Dkk3/Atp1b1/Ednrb/Dusp1/Dlgap1/Cd63/Zfp36l2/Htra1/F3/Mt2/Klf9/Myo6/Jun/Dclk1/Sorbs1/Pea15a/Camk2n1/Kcnk2/Arap2/S100a13/Sesn3/Cebpb/Fjx1/Lrp4/Mmd2/Trim9/Notch2/Pdlim4/Nrxn1/Ppp1r15a/Gem/Tnc/Aplp2/Pcdh8/Dio2/Enho/Lrp1/Slc9a3r1/Pcsk1n/Tmbim6/Mgat5/Epha5/Ctnnd2/Daam2/Cbs/Syt11/Entpd2/Cmya5/Dab1/Adcyap1r1/Nr3c1/Nrxn2/Rora/Sirpa/Chchd10/Slc27a1/Ppp1r1a/Nim1k/Nme7/Sash1/Car2/Trps1/Pink1/Pdcd4/Lamp2/Lmbrd1/Cyba/Acaa2/Ppp2r5a/Selenom/Tnfrsf19/Abca1/Ephb1/Rgs20/Kcnj10/Gfra1/Tmem100/Fzd2/Nrbp2/Bcl2/Timp2/Sqstm1/Gng12/Pdgfrb/Nr2e1/Cavin3/Ifitm3/Rgma/Gabbr1/Kcnn2/Crebrf/Slc15a2/Tprgl/Serpine2/Tcf7l2/Vim/Impact/Aldh2/Dag1/Vcam1/Fgfr1/Gclm/Foxo1/Hgf/Gsn/Wwtr1/Klf2/Neo1/Selenos/Cry2/Rhob/Txnip/Plcd4/Camk2d/Slc38a3/Ppt1/Nr1d1/Slc16a2/Peli2/Thra/Ogt/Sidt2/Crtc3/Calr/Plce1/Tpbg/Crlf3/Ptpra/Nfkbiz/Pik3ip1/Il6st/Gprc5b/Prrx1/Prdx1/Cntfr/Zfp703/Sox2/Fads1/Clstn1/Meg3/Fermt2/Tob1/Bmpr1b/Mapk4/Gadd45g/Fnbp1/Fgfr2/Rgs5/Plxnb1/Phlpp1/Tspan12/Nfe2l2/Rarres2/Slc7a11/Ptprf/Tcp11l2/Ctnnbip1/Ntrk3/Sema6d/Rsu1/Abr/Chil1/Dmd/Sorl1/Sort1/Sybu/Gnai2/Clcn3/Pttg1ip/Itgb5/Col1a2"
