"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"GO:0022402","GO:0022402","cell cycle process",191,-0.41846167570089,-3.05802516179654,1e-10,8.82105263157895e-09,4.88642659279778e-09,268,"tags=47%, list=24%, signal=43%","Rpl24/Mcm3/Ndc80/Egfr/Cenpk/Dtl/Smc1a/Ncapd3/Mcm6/Dlgap5/Hnrnpu/Bub3/Rps6/Pcna/Nuf2/Ncapg2/Sfpq/Cenph/Kif18a/Rad21/Rps3/Plk4/Ccnb2/Rcc2/Plk1/Aurka/Bub1b/Clspn/Ncapg/Bub1/Ect2/Kif22/Sgo1/Knstrn/Mcm7/Ncapd2/Tacc3/Lig1/Kif4/Npm1/Kif20b/Ranbp1/Aurkb/Cdk4/Dbf4/Sgo2a/Incenp/Pttg1/Fbxo5/Cdc20/Ckap2/Cks1b/Esco2/Kif23/Anp32b/Kif11/Aspm/Calm2/Cdk1/Nasp/Spc25/Ccna2/Ezh2/Smc4/Ccnb1/Ran/Knl1/Racgap1/Insm1/Sox4/Cenpe/Ube2s/Birc5/Nusap1/Cenpa/Cks2/Smc2/Cdca8/Tpx2/Ccnd2/Lmnb1/Pclaf/Ube2c/Tubb5/Prc1/Mki67/Cenpf/Stmn1/Top2a"
"GO:0023052","GO:0023052","signaling",355,0.310089938923572,2.57123280650469,1e-10,8.82105263157895e-09,4.88642659279778e-09,443,"tags=60%, list=40%, signal=53%","Clu/Apoe/Mt3/Cpe/Mt1/Plpp3/Cspg5/Ptn/Gfap/Glul/Ntrk2/Gja1/Hes5/Ndrg2/Sparcl1/Hes1/Prnp/Dbi/Sox9/Zfp36/Zfp36l1/Slc1a3/Fos/Cd81/Igfbp5/S1pr1/Glud1/Itm2b/Emp2/Fam107a/Dtna/Prex2/Timp3/Psap/Klf4/Sptbn1/Sfrp1/Mgll/Gnao1/Arhgap5/Gabrb1/Itm2c/Socs3/Lamp1/Dkk3/Atp1b1/Ednrb/Dusp1/Dlgap1/Cd63/Zfp36l2/Htra1/F3/Mt2/Klf9/Myo6/Jun/Dclk1/Sorbs1/Pea15a/Camk2n1/Kcnk2/Arap2/S100a13/Sesn3/Cebpb/Fjx1/Lrp4/Mmd2/Trim9/Notch2/Pdlim4/Nrxn1/Ppp1r15a/Gem/Tnc/Aplp2/Pcdh8/Dio2/Enho/Lrp1/Slc9a3r1/Pcsk1n/Tmbim6/Mgat5/Epha5/Ctnnd2/Daam2/Cbs/Syt11/Entpd2/Cmya5/Dab1/Adcyap1r1/Nr3c1/Nrxn2/Rora/Sirpa/Chchd10/Slc27a1/Ppp1r1a/Nim1k/Nme7/Sash1/Car2/Trps1/Pink1/Pdcd4/Lmbrd1/Cyba/Acaa2/Ppp2r5a/Selenom/Tnfrsf19/Abca1/Ephb1/Rgs20/Kcnj10/Gfra1/Tmem100/Fzd2/Nrbp2/Bcl2/Timp2/Sqstm1/Gng12/Pdgfrb/Nr2e1/Cavin3/Eps15/Ifitm3/Rgma/Gabbr1/Kcnn2/Crebrf/Slc15a2/Tprgl/Serpine2/Tcf7l2/Vim/Aldh2/Dag1/Vcam1/Fgfr1/Gclm/Foxo1/Hgf/Gsn/Wwtr1/Klf2/Neo1/Selenos/Cry2/Rhob/Txnip/Plcd4/Camk2d/Ppt1/Nr1d1/Slc16a2/Peli2/Thra/Ogt/Sidt2/Crtc3/Calr/Plce1/Tpbg/Crlf3/Ptpra/Nfkbiz/Pik3ip1/Il6st/Gprc5b/Prrx1/Prdx1/Cntfr/Zfp703/Sox2/Clstn1/Meg3/Fermt2/Tob1/Bmpr1b/Mapk4/Gadd45g/Fnbp1/Fgfr2/Rgs5/Plxnb1/Phlpp1/Tspan12/Nfe2l2/Rarres2/Slc7a11/Ptprf/Tcp11l2/Ctnnbip1/Ntrk3/Sema6d/Rsu1/Abr/Chil1/Dmd/Sorl1/Sort1/Sybu/Gnai2/Clcn3/Pttg1ip/Itgb5/Col1a2"
"GO:0048285","GO:0048285","organelle fission",90,-0.52055308114912,-3.33415625144193,1e-10,8.82105263157895e-09,4.88642659279778e-09,312,"tags=63%, list=28%, signal=49%","Ttk/Psrc1/Coro1c/Kif2c/Rad51ap1/Ncaph/Cit/Rpl24/Ndc80/Cenpk/Smc1a/Ncapd3/Hnrnpu/Bub3/Nuf2/Ncapg2/Kif18a/Rad21/Ccnb2/Plk1/Aurka/Bub1b/Ncapg/Bub1/Kif22/Sgo1/Knstrn/Ncapd2/Tacc3/Kif4/Kif20b/Ranbp1/Aurkb/Sgo2a/Incenp/Pttg1/Fbxo5/Cdc20/Kif23/Kif11/Aspm/Smc4/Ccnb1/Ran/Racgap1/Cenpe/Ube2s/Birc5/Nusap1/Cks2/Smc2/Cdca8/Tpx2/Ube2c/Prc1/Mki67/Top2a"
"GO:0051276","GO:0051276","chromosome organization",163,-0.468463064003132,-3.3337973871928,1e-10,8.82105263157895e-09,4.88642659279778e-09,461,"tags=75%, list=42%, signal=51%","Cct7/Rbbp4/Suz12/Dhx9/Smarcd1/Fbl/Mbd3/Trip13/Top2b/Baz1b/Cenpv/Mcm2/Trim28/Cdk5rap2/Chd7/Kmt5a/Spdl1/Actl6a/Smarce1/Smarca4/Hdac2/Brca1/Nek2/Parp1/Mad2l1/Brd8/Smarca5/Smc6/Tcp1/Hsp90ab1/Ttk/H3f3a/Psrc1/Cenpp/Vrk1/Kif2c/Ctcf/Chd3/Ssrp1/Pbrm1/Hat1/Ncaph/Cct2/Cit/Ndc80/Cenpk/Smc1a/Smarcc1/Ncapd3/Mcm6/Dlgap5/Hnrnpu/Bub3/Prmt1/Pcna/Nuf2/Cbx3/Ncapg2/Sfpq/Cenph/Kif18a/Rad21/Cenpw/Plk1/Bub1b/Uhrf1/Hmgn5/Ncapg/Banf1/Bub1/Supt16/Hsp90aa1/Dnmt1/Hmgn1/Kif22/Sgo1/Knstrn/Mcm7/Ncapd2/Hjurp/Hells/Atad2/Tacc3/H3f3b/Kif4/Npm1/Nucks1/Nap1l1/Anp32e/Aurkb/Hmgb1/Nsd2/Sgo2a/Ptma/Dek/Incenp/Pttg1/Fbxo5/Set/Hnrnpd/Cdc20/Esco2/Kif23/Cdk1/Nasp/Ccna2/Ezh2/Smc4/Ccnb1/Ran/Racgap1/Cenpe/Birc5/Nusap1/Cenpa/Smc2/Cdca8/Hmgn2/Ube2c/Prc1/Mki67/Top2a"
"GO:0051301","GO:0051301","cell division",121,-0.525686058985539,-3.53337671319616,1e-10,8.82105263157895e-09,4.88642659279778e-09,193,"tags=50%, list=18%, signal=46%","Rad21/Rps3/Plk4/Ccnb2/Cenpw/Rcc2/Plk1/Aurka/Bub1b/Bub1/Cdca2/Ect2/Sgo1/Knstrn/Pimreg/Ncapd2/Hells/Tacc3/Lig1/Kif4/Kif20b/Cdk6/Aurkb/Cdk4/Sgo2a/Incenp/Pttg1/Fbxo5/Ybx1/Cdc20/Mis18bp1/Ckap2/Cks1b/Kif23/Kif11/Aspm/Spc24/Cdk1/Spc25/Ccna2/Cdca3/Smc4/Ccnb1/Ran/Knl1/Racgap1/Cenpe/Ube2s/Birc5/Nusap1/Cenpa/Cks2/Smc2/Cdca8/Tpx2/Ccnd2/Ube2c/Prc1/Stmn1/Top2a"
"GO:0098813","GO:0098813","nuclear chromosome segregation",71,-0.579670844762973,-3.51360898107303,1e-10,8.82105263157895e-09,4.88642659279778e-09,312,"tags=70%, list=28%, signal=54%","Ttk/Psrc1/Kif2c/Ncaph/Cit/Ndc80/Cenpk/Smc1a/Ncapd3/Hnrnpu/Bub3/Nuf2/Ncapg2/Sfpq/Kif18a/Rad21/Rcc2/Plk1/Bub1b/Ncapg/Bub1/Ect2/Kif22/Sgo1/Knstrn/Ncapd2/Tacc3/Kif4/Aurkb/Sgo2a/Incenp/Pttg1/Fbxo5/Cdc20/Esco2/Kif23/Smc4/Ccnb1/Ran/Knl1/Racgap1/Cenpe/Birc5/Nusap1/Smc2/Cdca8/Ube2c/Prc1/Cenpf/Top2a"
"GO:0140014","GO:0140014","mitotic nuclear division",73,-0.567704315883598,-3.46223197504557,1e-10,8.82105263157895e-09,4.88642659279778e-09,312,"tags=70%, list=28%, signal=54%","Ttk/Psrc1/Kif2c/Ncaph/Cit/Rpl24/Ndc80/Cenpk/Smc1a/Ncapd3/Hnrnpu/Bub3/Nuf2/Ncapg2/Kif18a/Rad21/Plk1/Aurka/Bub1b/Ncapg/Bub1/Kif22/Sgo1/Knstrn/Ncapd2/Tacc3/Kif4/Kif20b/Ranbp1/Aurkb/Sgo2a/Incenp/Pttg1/Fbxo5/Cdc20/Kif23/Kif11/Smc4/Ccnb1/Ran/Racgap1/Cenpe/Ube2s/Birc5/Nusap1/Smc2/Cdca8/Tpx2/Ube2c/Prc1/Mki67"
"GO:1903047","GO:1903047","mitotic cell cycle process",151,-0.44933978710625,-3.13752862864818,1e-10,8.82105263157895e-09,4.88642659279778e-09,273,"tags=52%, list=25%, signal=45%","Cit/Rpl24/Mcm3/Ndc80/Egfr/Cenpk/Dtl/Smc1a/Ncapd3/Mcm6/Dlgap5/Hnrnpu/Bub3/Rps6/Pcna/Nuf2/Ncapg2/Cenph/Kif18a/Rad21/Ccnb2/Rcc2/Plk1/Aurka/Bub1b/Clspn/Ncapg/Bub1/Ect2/Kif22/Sgo1/Knstrn/Ncapd2/Tacc3/Lig1/Kif4/Kif20b/Ranbp1/Aurkb/Cdk4/Dbf4/Sgo2a/Incenp/Pttg1/Fbxo5/Cdc20/Ckap2/Cks1b/Kif23/Anp32b/Kif11/Calm2/Cdk1/Nasp/Spc25/Ccna2/Ezh2/Smc4/Ccnb1/Ran/Racgap1/Sox4/Cenpe/Ube2s/Birc5/Nusap1/Cenpa/Cks2/Smc2/Cdca8/Tpx2/Ccnd2/Lmnb1/Ube2c/Prc1/Mki67/Cenpf/Stmn1"
"GO:0022610","GO:0022610","biological adhesion",109,0.430526268191646,2.94442193514354,1.16887948618959e-10,9.79521009426874e-09,5.42606161483798e-09,203,"tags=43%, list=18%, signal=39%","Plpp3/Cspg5/Ttyh1/Ptn/Hes5/Thbs4/Sparcl1/Hes1/Prnp/Sox9/Gpm6b/Zfp36l1/Cd81/S1pr1/Emp2/Fam107a/Bcan/Klf4/Tmem47/Sfrp1/Atp1b2/Rgcc/Sdc4/Cldn10/Atp1b1/Dusp1/Lsamp/Cd63/Cd9/Aqp4/Sorbs1/Hepacam/Cadm2/Ccdc80/Cebpb/Alcam/Nrxn1/Ntm/Tnc/Pcdh8/Lrp1/Epha5/Ctnnd2/Dab1/Cntnap2/Nrxn2/Sirpa"
"GO:0051239","GO:0051239","regulation of multicellular organismal process",210,0.333666861346292,2.54648437610447,1.76066694109192e-10,1.40004698270741e-08,7.75556738316754e-09,434,"tags=64%, list=40%, signal=48%","Clu/Apoe/Mt3/Cpe/Sparc/Plpp3/Ptn/Gfap/Glul/Fxyd1/Ntrk2/Atp1a2/Gja1/Hes5/Ndrg2/Thbs4/Hes1/Prnp/Sox9/Gpm6b/Zfp36/Hopx/Zfp36l1/Id4/Fos/Ddah1/Cd81/Igfbp5/S1pr1/Emp2/Bhlhe40/Klf4/Sptbn1/S100a1/Sfrp1/Id2/Mgll/Gnao1/Rgcc/Atp1b1/Ednrb/Dlgap1/Adamts1/Cd63/Cd9/Zfp36l2/F3/Jun/Aqp4/Add3/Kcnk2/Cebpb/Lrp4/Notch2/Qk/Nrxn1/Dio2/Lrp1/Slc9a3r1/Daam2/Syt11/Cmya5/Dab1/Nr3c1/Atp1a1/Rora/Sirpa/Slc27a1/Sash1/Car2/Trps1/Pdcd4/Cyba/Abca1/Ephb1/Kcnj10/Tmem100/Sgip1/Bcl2/Btg1/Per3/Ptprz1/Nr2e1/Maff/Rgma/Kcnn2/Vcl/Serpine2/Tcf7l2/Vim/Dag1/Fgfr1/Foxo1/Hgf/Wwtr1/Klf2/Selenos/Cry2/Rhob/Camk2d/Nr1d1/Thra/Acadl/Ogt/Adk/Calr/Camk2g/Tpbg/Ptpra/Nfkbiz/Il6st/Gprc5b/Zfp703/Rbp1/Fezf2/Atraid/Sox2/Clstn1/Fermt2/Apoc1/Bmpr1b/Gadd45g/Fgfr2/Plxnb1/Tspan12/Nfe2l2/Ptprf/Ctnnbip1/Ntrk3/Sema6d/Abr/Chil1/Dmd/Sorl1"
"GO:0007155","GO:0007155","cell adhesion",108,0.434916401501109,2.97151247985284,1.83777050236056e-10,1.40004698270741e-08,7.75556738316754e-09,203,"tags=44%, list=18%, signal=39%","Plpp3/Cspg5/Ttyh1/Ptn/Hes5/Thbs4/Sparcl1/Hes1/Prnp/Sox9/Gpm6b/Zfp36l1/Cd81/S1pr1/Emp2/Fam107a/Bcan/Klf4/Tmem47/Sfrp1/Atp1b2/Rgcc/Sdc4/Cldn10/Atp1b1/Dusp1/Lsamp/Cd63/Cd9/Aqp4/Sorbs1/Hepacam/Cadm2/Ccdc80/Cebpb/Alcam/Nrxn1/Ntm/Tnc/Pcdh8/Lrp1/Epha5/Ctnnd2/Dab1/Cntnap2/Nrxn2/Sirpa"
"GO:0032879","GO:0032879","regulation of localization",236,0.32059364141564,2.51202613740824,3.79536201570924e-10,2.54441069533148e-08,1.40947759909707e-08,349,"tags=50%, list=32%, signal=43%","Clu/Apoe/Sparc/Slc1a2/Plpp3/Cspg5/Ptn/Gfap/Glul/Fxyd1/Ntrk2/Atp1a2/Gja1/Thbs4/Hes1/Pla2g7/Prnp/Dbi/Sox9/Gpm6b/Zfp36/Zfp36l1/Cd81/Igfbp5/S1pr1/Glud1/Emp2/Fam107a/Hspa2/Acsl3/Klf4/Sptbn1/S100a1/Sfrp1/Atp1b2/Mlc1/Gnao1/Arhgap5/Rgcc/Lamp1/Sdc4/Cldn10/Atp1b1/Ednrb/Nkain4/Dusp1/Adamts1/Cd63/Cd9/Aldoa/F3/Myo6/Jun/Sorbs1/Pea15a/Camk2n1/Cebpb/Lrp4/Mmd2/Trim9/Nrxn1/Gem/Lrp1/Slc9a3r1/Tmem59/Tmbim6/Mgat5/Epha5/Acsl6/Scp2/Syt11/Adcyap1r1/Nr3c1/Atp1a1/Sirpa/Chchd10/Sash1/Car2/Pink1/Lmbrd1/Cyba/Acaa2/Ttc8/Ppp2r5a/Abca1/Kcnj10/Sgip1/Bcl2/Saraf/Sqstm1/Limch1/Ptprz1/Pdgfrb/Nr2e1/Eps15/Gabbr1/Crebrf/Vcl/Serpine2/Tcf7l2/Vim/Dag1/Fgfr1/Hgf/Gsn/Wwtr1/Neo1/Cry2/Rhob/Camk2d/Slc38a3/Ppt1/Nr1d1/Ogt/Sidt2/Fxyd6/Calr/Camk2g"
